,опыт_лет,возраст,образование,город,язык_программирования,размер_компании,английский,образование_код,зарплата
159,0,49,Бакалавр,Казань,JavaScript,Крупная,C1-C2,0,331.0
46,13,25,Магистр,Москва,JavaScript,Средняя,B1-B2,1,511.0
195,0,33,Бакалавр,Москва,C++,Крупная,B1-B2,0,362.0
97,1,42,Бакалавр,Казань,JavaScript,Средняя,A1-A2,0,262.0
85,1,24,Бакалавр,Москва,Java,Крупная,A1-A2,0,462.0
94,5,25,Магистр,Новосибирск,Java,Крупная,B1-B2,1,382.0
198,3,41,Бакалавр,Москва,C++,Малая,B1-B2,0,402.0
56,2,43,Бакалавр,Москва,Python,Крупная,B1-B2,0,394.0
4,10,34,Бакалавр,Москва,Python,Средняя,A1-A2,0,475.0
117,14,35,Бакалавр,Новосибирск,Python,Малая,A1-A2,0,493.0
194,6,37,Бакалавр,Москва,C++,Средняя,B1-B2,0,434.0
116,1,25,Бакалавр,Москва,Python,Средняя,B1-B2,0,292.0
125,12,45,Магистр,Москва,JavaScript,Крупная,B1-B2,1,814.5
185,8,39,Бакалавр,Москва,Java,Малая,C1-C2,0,471.0
154,6,47,PhD,Москва,JavaScript,Крупная,C1-C2,2,490.0
175,13,43,Бакалавр,Москва,Java,Средняя,A1-A2,0,553.0
62,3,39,Магистр,СПб,Java,Малая,C1-C2,1,416.0
162,13,24,Бакалавр,Новосибирск,JavaScript,Малая,B1-B2,0,422.0
38,10,46,Бакалавр,Казань,Python,Малая,C1-C2,0,467.0
17,7,49,Магистр,Москва,Python,Средняя,C1-C2,1,487.0
42,11,32,Бакалавр,Москва,Java,Малая,C1-C2,0,471.0
182,13,23,Бакалавр,Новосибирск,Python,Средняя,A1-A2,0,478.0
166,11,28,Магистр,СПб,JavaScript,Средняя,B1-B2,1,485.0
133,8,27,Магистр,Москва,C++,Малая,C1-C2,1,463.0
190,11,44,Магистр,Москва,Java,Крупная,A1-A2,1,558.0
105,14,39,Бакалавр,Казань,C++,Крупная,C1-C2,0,576.0
77,11,36,Магистр,Новосибирск,Python,Малая,A1-A2,1,464.0
136,11,27,Бакалавр,СПб,C++,Крупная,C1-C2,0,489.0
152,8,44,PhD,Москва,Python,Малая,A1-A2,2,486.0
57,6,34,Бакалавр,Новосибирск,Python,Крупная,A1-A2,0,359.0
2,12,26,Магистр,СПб,C++,Крупная,B1-B2,1,485.0
40,14,44,Магистр,СПб,Java,Малая,C1-C2,1,536.0
178,4,39,PhD,Москва,Python,Крупная,A1-A2,2,462.0
14,7,21,PhD,СПб,Java,Средняя,C1-C2,2,409.0
8,6,32,Магистр,Казань,Python,Крупная,B1-B2,1,433.0
91,5,40,Магистр,Казань,Python,Средняя,C1-C2,1,424.0
114,4,47,Магистр,СПб,Python,Малая,A1-A2,1,400.0
73,11,36,Бакалавр,Новосибирск,Java,Малая,B1-B2,0,463.0
127,12,38,Бакалавр,Москва,Java,Средняя,B1-B2,0,458.0
54,2,29,Магистр,Москва,Python,Малая,A1-A2,1,321.0
35,11,20,PhD,Казань,JavaScript,Крупная,A1-A2,2,401.0
79,7,36,Бакалавр,СПб,Java,Крупная,B1-B2,0,431.0
157,11,20,Бакалавр,Москва,JavaScript,Средняя,A1-A2,0,404.0
82,13,47,Бакалавр,СПб,Python,Средняя,A1-A2,0,492.0
129,12,26,Бакалавр,СПб,Java,Средняя,B1-B2,0,420.0
52,3,20,Магистр,Новосибирск,Python,Средняя,B1-B2,1,330.0
39,10,49,Бакалавр,СПб,Java,Крупная,B1-B2,0,715.5
75,11,36,Магистр,Москва,Python,Малая,A1-A2,1,479.0
99,11,43,Бакалавр,СПб,Java,Малая,A1-A2,0,463.0
3,14,32,Бакалавр,СПб,C++,Средняя,C1-C2,0,554.0
49,2,28,PhD,СПб,C++,Средняя,C1-C2,2,379.0
141,2,44,Бакалавр,СПб,Java,Крупная,B1-B2,0,360.0
115,12,46,Магистр,Москва,JavaScript,Средняя,B1-B2,1,558.0
34,12,49,Бакалавр,Новосибирск,Java,Малая,A1-A2,0,449.0
